city_name,state,abbreviation,population,latitude,longitude
Lake Charles,Louisiana,LA,74024,30.226594899999995,-93.21737579999999
Richland,Washington,WA,52413,46.2856907,-119.2844621
Hickory,North Carolina,NC,40361,35.7344538,-81.3444573
South San Francisco,California,CA,66174,37.654656,-122.40774979999999
Plymouth,Minnesota,MN,73987,45.01051939999999,-93.4555093
South Bend,Indiana,IN,100886,41.676354499999995,-86.25198979999999
Edmond,Oklahoma,OK,87004,35.6528323,-97.4780954
Des Moines,Iowa,IA,207510,41.600544799999994,-93.6091064
Bonita Springs,Florida,FL,47547,26.339806,-81.77869720000001
Draper,Utah,UT,45285,40.5246711,-111.8638226
Whittier,California,CA,86635,33.97917929999999,-118.032844
Livonia,Michigan,MI,95208,42.36837,-83.3527097
Milwaukee,Wisconsin,WI,599164,43.0389025,-87.9064736
Auburn,Washington,WA,74860,47.307322799999994,-122.22845320000002
Sumter,South Carolina,SC,41190,33.9204354,-80.3414693
Beverly,Massachusetts,MA,40664,42.5584283,-70.880049
Renton,Washington,WA,97003,47.4828776,-122.21706609999998
Centennial,Colorado,CO,106114,39.5807452,-104.87717260000001
Richmond,Virginia,VA,214114,37.540724600000004,-77.4360481
Anderson,Indiana,IN,55670,40.1053196,-85.6802541
Beaumont,California,CA,40481,33.929460600000006,-116.977248
Pflugerville,Texas,TX,53752,30.4393696,-97.62000429999999
Hoboken,New Jersey,NJ,52575,40.7439905,-74.0323626
Lexington-Fayette,Kentucky,KY,308428,38.040583700000006,-84.50371640000002
Norwalk,California,CA,106589,33.9022367,-118.08173300000001
Yuma,Arizona,AZ,91923,32.6926512,-114.62769159999999
Highland,California,CA,54291,34.1283442,-117.2086513
Carol Stream,Illinois,IL,40379,41.9125286,-88.1347927
Joliet,Illinois,IL,147806,41.525031,-88.0817251
Rock Hill,South Carolina,SC,69103,34.9248667,-81.02507840000001
Rancho Cordova,California,CA,67911,38.5890723,-121.302728
Dearborn Heights,Michigan,MI,56620,42.3369816,-83.2732627
Honolulu,Hawaii,HI,347884,21.3069444,-157.8583333
Victoria,Texas,TX,65098,28.805267399999998,-97.00359820000001
Attleboro,Massachusetts,MA,43886,41.9445441,-71.2856082
Wylie,Texas,TX,44575,33.0151201,-96.53887890000001
Carrollton,Texas,TX,126700,32.975641499999995,-96.88996359999999
Plainfield,Illinois,IL,41734,41.632222999999996,-88.2120315
Hoffman Estates,Illinois,IL,52398,42.062991499999995,-88.1227199
Methuen,Massachusetts,MA,48514,42.7262016,-71.19089240000001
North Port,Florida,FL,59212,27.044224,-82.23592540000001
Rockville,Maryland,MD,64072,39.0839973,-77.1527578
Burbank,California,CA,104709,34.18083920000001,-118.30896609999998
Fullerton,California,CA,138981,33.8703596,-117.9242966
Oshkosh,Wisconsin,WI,66778,44.024706200000004,-88.5426136
Huntsville,Texas,TX,39795,30.723526300000003,-95.55077709999999
Farmington Hills,Michigan,MI,81295,42.4989936,-83.3677168
Pico Rivera,California,CA,63771,33.9830688,-118.09673500000001
Cerritos,California,CA,49707,33.858348299999996,-118.0647871
La Puente,California,CA,40435,34.0200114,-117.94950829999999
Grand Junction,Colorado,CO,59778,39.0638705,-108.5506486
Enid,Oklahoma,OK,50725,36.3955891,-97.8783911
San Jose,California,CA,998537,37.338208200000004,-121.88632859999998
Round Rock,Texas,TX,109821,30.508255100000003,-97.678896
Maple Grove,Minnesota,MN,65415,45.072464200000006,-93.4557877
Norman,Oklahoma,OK,118197,35.222566799999996,-97.4394777
Homestead,Florida,FL,64079,25.468722399999997,-80.4775569
Friendswood,Texas,TX,37587,29.529399800000004,-95.20104470000001
Irvine,California,CA,236716,33.6839473,-117.79469420000001
Pocatello,Idaho,ID,54350,42.8713032,-112.4455344
Pacifica,California,CA,38606,37.613825299999995,-122.48691940000002
Sheboygan,Wisconsin,WI,48725,43.750828399999996,-87.71453000000001
Bossier City,Louisiana,LA,66333,32.5159852,-93.7321228
Cedar Park,Texas,TX,61238,30.505197999999996,-97.82028879999999
Sandy Springs,Georgia,GA,99770,33.9304352,-84.3733147
Champaign,Illinois,IL,83424,40.116420399999996,-88.2433829
Clifton,New Jersey,NJ,85390,40.858432799999996,-74.16375529999999
Moore,Oklahoma,OK,58414,35.339507899999994,-97.48670279999999
Blue Springs,Missouri,MO,53294,39.0169509,-94.2816148
Lancaster,California,CA,159523,34.6867846,-118.1541632
Bryan,Texas,TX,78709,30.674364299999997,-96.3699632
Hurst,Texas,TX,38448,32.82346210000001,-97.1705678
Cape Coral,Florida,FL,165831,26.5628537,-81.94953309999998
Cupertino,California,CA,60189,37.322997799999996,-122.03218229999999
Pittsfield,Massachusetts,MA,44057,42.450084499999996,-73.2453824
Gilroy,California,CA,51701,37.0057816,-121.5682751
Manchester,New Hampshire,NH,110378,42.995639700000005,-71.4547891
Virginia Beach,Virginia,VA,448479,36.8529263,-75.977985
Salina,Kansas,KS,47846,38.8402805,-97.6114237
Somerville,Massachusetts,MA,78804,42.3875968,-71.0994968
Largo,Florida,FL,78409,27.909466499999997,-82.7873244
Fresno,California,CA,509924,36.7468422,-119.7725868
Phenix City,Alabama,AL,37498,32.4709761,-85.0007653
Berwyn,Illinois,IL,56758,41.8505874,-87.79366850000001
Palm Beach Gardens,Florida,FL,50699,26.8233946,-80.1386547
Pawtucket,Rhode Island,RI,71172,41.878710999999996,-71.38255579999999
San Gabriel,California,CA,40275,34.0961111,-118.10583329999999
Winston-Salem,North Carolina,NC,236441,36.0998596,-80.24421600000001
Alpharetta,Georgia,GA,62298,34.07537620000001,-84.2940899
O'Fallon,Missouri,MO,82809,38.8106075,-90.6998477
Redwood City,California,CA,80872,37.4852152,-122.2363548
Union City,California,CA,72528,37.59339179999999,-122.0438298
Hallandale Beach,Florida,FL,38632,25.981202399999997,-80.148379
Mankato,Minnesota,MN,40641,44.1635775,-93.99939959999999
Aliso Viejo,California,CA,50175,33.5676842,-117.72560829999999
Menifee,California,CA,83447,33.6971468,-117.185294
Loveland,Colorado,CO,71334,40.397761200000005,-105.0749801
Carpentersville,Illinois,IL,38241,42.1211364,-88.2578582
Providence,Rhode Island,RI,177994,41.8239891,-71.4128343
Hialeah,Florida,FL,233394,25.8575963,-80.2781057
San Ramon,California,CA,74513,37.7799273,-121.9780153
Ontario,California,CA,167500,34.0633443,-117.65088759999999
Kirkland,Washington,WA,84430,47.6814875,-122.20873529999999
St. George,Utah,UT,76817,37.0965278,-113.5684164
Hilton Head Island,South Carolina,SC,39412,32.216316,-80.752608
Glendale,California,CA,196021,34.1425078,-118.255075
Meriden,Connecticut,CT,60456,41.5381535,-72.8070435
Gardena,California,CA,59957,33.8883487,-118.30896240000001
Westfield,Massachusetts,MA,41301,42.1250929,-72.749538
Elgin,Illinois,IL,110145,42.035408399999994,-88.2825668
Plano,Texas,TX,274409,33.0198431,-96.6988856
Longmont,Colorado,CO,89919,40.167206799999995,-105.10192749999999
Coppell,Texas,TX,40342,32.954568699999996,-97.01500779999999
Lakewood,Ohio,OH,51143,41.481993200000005,-81.7981908
Jonesboro,Arkansas,AR,71551,35.8422967,-90.704279
College Station,Texas,TX,100050,30.627977,-96.3344068
Dearborn,Michigan,MI,95884,42.3222599,-83.1763145
Utica,New York,NY,61808,43.100903,-75.232664
Monroe,Louisiana,LA,49761,32.5093109,-92.1193012
Baltimore,Maryland,MD,622104,39.2903848,-76.6121893
Springfield,Missouri,MO,164122,37.20895720000001,-93.2922989
Pine Bluff,Arkansas,AR,46094,34.2284312,-92.00319549999999
Plainfield,New Jersey,NJ,50588,40.6337136,-74.40737359999999
Lynn,Massachusetts,MA,91589,42.466763,-70.9494938
Woodbury,Minnesota,MN,65656,44.923855200000006,-92.9593797
